nodes,latitude,longitude
SH1,51.99977671,4.369899354
SE1,51.99453782,4.356323281
SE2,51.99584366,4.357025179
SE3,51.99521254,4.360153744
SE4,51.9971259,4.360177196
D1,51.99670983,4.359701509
D2,51.997015,4.359133
D3,51.99684,4.35839
D4,51.99683921,4.358138278
D5,51.99665755,4.357360437
D6,51.99595401,4.357007235
D7,51.99595635,4.35708493
D8,51.99597286,4.357164055
D9,51.99599185,4.35726732
D10,51.99600672,4.357345104
D11,51.99602736,4.357420206
D12,51.99581411,4.356956115
D13,51.99577365,4.357080837
D14,51.99572989,4.35713314
D15,51.99566713,4.357147892
D16,51.99562171,4.357185443
D17,51.99556722,4.357220312
D18,51.9955218,4.35724177
D19,51.99546491,4.357248972
D20,51.99541779,4.357291737
D21,51.99587749,4.35749614
D22,51.99580978,4.357531008
D23,51.99575858,4.357552466
D24,51.99570573,4.35758197
D25,51.99564958,4.357584653
D26,51.99559013,4.357657072
D27,51.99554279,4.357677245
D28,51.9954913,4.357712088
D29,51.99526024,4.357353326
D30,51.99528336,4.357412335
D31,51.99529162,4.357524988
D32,51.99531309,4.357608136
D33,51.99532961,4.357677873
D34,51.99535108,4.35775834
D35,51.99615117,4.357831582
D36,51.99615049,4.357923257
D37,51.99617157,4.35799726
D38,51.99618925,4.358078995
D39,51.9962477,4.358305067
D40,51.99621092,4.358320004
D41,51.99615771,4.358353078
D42,51.99610302,4.35838821
D43,51.99601442,4.357904806
D44,51.99594421,4.357933313
D45,51.99583755,4.358001293
D46,51.99578219,4.358031993
D47,51.99573493,4.358049537
D48,51.99580552,4.358312077
D49,51.99557522,4.358109079
D50,51.99559328,4.358190091
D51,51.99561134,4.358289262
D52,51.99563112,4.358371671
D53,51.99564746,4.358448493
D54,51.99567498,4.358542076
D55,51.99603915,4.358626405
D56,51.99604535,4.358716259
D57,51.99607012,4.358781302
D58,51.99608952,4.358868474
D59,51.99614426,4.359095972
D60,51.99608068,4.359136875
D61,51.99603898,4.35915498
D62,51.99598613,4.359187837
D63,51.99572601,4.358674144
D64,51.99575574,4.358777409
D65,51.99576317,4.358859216
D66,51.99577886,4.358942365
D67,51.9957995,4.359020149
D68,51.99581684,4.359095251
D69,51.99583088,4.359202539
D70,51.99584987,4.359277641
D71,51.99617698,4.360077785
D72,51.99584173,4.360262858
D73,51.99540062,4.358278952
D74,51.995323,4.358324549
D75,51.99526355,4.358340643
D76,51.9952173,4.358388922
D77,51.99516941,4.358396969
D78,51.99512317,4.35843452
D79,51.99548209,4.35869072
D80,51.99541489,4.358717362
D81,51.99537304,4.35872782
D82,51.99530972,4.358771395
D83,51.99526894,4.358811484
D84,51.99520454,4.358830658
D85,51.99564432,4.359315238
D86,51.99559751,4.359332868
D87,51.99555476,4.35938135
D88,51.99551338,4.35939898
D89,51.99547403,4.359413304
D90,51.99542586,4.35944636
D91,51.99538583,4.35948162
D92,51.99534716,4.359495944
D93,51.9950877,4.358653889
D94,51.99502136,4.358666647
D95,51.99496114,4.358690746
D96,51.99491837,4.358729021
D97,51.99487385,4.358753119
D98,51.99480839,4.358781471
D99,51.99515316,4.359057897
D100,51.99511039,4.359072073
D101,51.99504929,4.359086249
D102,51.99500478,4.359131611
D103,51.99494281,4.359150039
D104,51.9948852,4.359193984
D105,51.99506739,4.35951825
D106,51.99509238,4.359594217
D107,51.99511417,4.359657696
D108,51.99512314,4.3597295
D109,51.99513403,4.359799223
D110,51.99515261,4.359866865
D111,51.99516094,4.359937629
D112,51.99518273,4.360007352
D113,51.99517622,4.360369965
D114,51.99513659,4.360396788
D115,51.9950953,4.360426292
D116,51.99503915,4.360445067
D117,51.99500612,4.360482618
D118,51.99496648,4.360498711
D119,51.99492189,4.360530898
D120,51.99487399,4.360555038
D121,51.99461061,4.358878532
D122,51.99462105,4.35893127
D123,51.9946367,4.359010378
D124,51.99464424,4.359081951
D125,51.99465526,4.35914034
D126,51.99467324,4.359220389
D127,51.99458344,4.359380363
D128,51.99460264,4.359452852
D129,51.99461821,4.359541356
D130,51.99462548,4.359602887
D131,51.99463586,4.35966779
D132,51.99465402,4.359747865
D133,51.99456499,4.359910028
D134,51.99457838,4.359969861
D135,51.99459262,4.360043291
D136,51.99460518,4.360111283
D137,51.99461522,4.360173834
D138,51.99463699,4.360255424
D139,51.99453066,4.360406365
D140,51.99453903,4.360482515
D141,51.9945675,4.360547787
D142,51.99457838,4.360604899
D143,51.99459513,4.360691928
D144,51.99460936,4.360769438
TH1,51.995592,4.358753
TE1,51.995593,4.358754
