techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1,
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2,
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3,
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4,
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5,
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6,
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7,
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8,
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9,
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10,
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11,
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12,
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13,
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14,
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15,
LQHtransmission1092_to_LQHtransmission198_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission198,LQHtransmission1092,
LQHtransmission198_to_LQHtransmission1956_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1956,LQHtransmission198,
LQHtransmission1956_to_LQHtransmission2029_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2029,LQHtransmission1956,
LQHtransmission2029_to_LQHtransmission1180_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1180,LQHtransmission2029,
LQHtransmission1180_to_LQHtransmission884_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission884,LQHtransmission1180,
LQHtransmission884_to_LQHtransmission1186_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1186,LQHtransmission884,
LQHtransmission1186_to_LQHtransmission633_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission633,LQHtransmission1186,
LQHtransmission633_to_LQHtransmission1509_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1509,LQHtransmission633,
LQHtransmission1509_to_LQHtransmission1266_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1266,LQHtransmission1509,
LQHtransmission1266_to_LQHtransmission1524_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1524,LQHtransmission1266,
LQHtransmission1524_to_LQHtransmission1029_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1029,LQHtransmission1524,
LQHtransmission1029_to_LQHtransmission1647_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1647,LQHtransmission1029,
LQHtransmission1647_to_LQHtransmission1651_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1651,LQHtransmission1647,
LQHtransmission1651_to_LQHtransmission1550_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1550,LQHtransmission1651,
