techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LQHtransmission1413_to_LQHtransmission578_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission578,LQHtransmission1413
LQHtransmission578_to_LQHtransmission1342_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1342,LQHtransmission578
LQHtransmission1342_to_LQHtransmission340_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission340,LQHtransmission1342
LQHtransmission340_to_LQHtransmission1850_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1850,LQHtransmission340
LQHtransmission1850_to_LQHtransmission1866_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1866,LQHtransmission1850
LQHtransmission1866_to_LQHtransmission1376_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1376,LQHtransmission1866
LQHtransmission1376_to_LQHtransmission1580_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1580,LQHtransmission1376
LQHtransmission1580_to_LQHtransmission1648_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1648,LQHtransmission1580
LQHtransmission1648_to_LQHtransmission1300_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1300,LQHtransmission1648
LQHtransmission1300_to_LQHtransmission1611_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1611,LQHtransmission1300
LQHtransmission1611_to_LQHtransmission1563_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1563,LQHtransmission1611
LQHtransmission1563_to_LQHtransmission292_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission292,LQHtransmission1563
LQHtransmission292_to_LQHtransmission1994_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1994,LQHtransmission292
LQHtransmission1994_to_LQHtransmission1196_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1196,LQHtransmission1994
